# Chinese Lexicon with frequencies
# Format: word|part_of_speech|probability
# === animate (4014 words) ===
大个儿|animate|0.000211
大力士|animate|0.000211
大勇若怯|animate|0.000105
大吃大喝|animate|0.000158
大哥|animate|0.000475
大嘴乌鸦|animate|0.000053
大器|animate|0.000369
大噪鹛|animate|0.000158
大块头|animate|0.000211
大寿|animate|0.000580
大天鹅|animate|0.000158
大姐|animate|0.000580
大姐大|animate|0.000264
大奸似忠|animate|0.000105
大姨|animate|0.000475
大妈|animate|0.000422
大嫂|animate|0.000369
大学生|animate|0.000211
大小姐|animate|0.000264
大尾巴狼|animate|0.000158
大山雀|animate|0.000158
大忙人|animate|0.000211
大拇指|animate|0.000264
大拿|animate|0.000369
大斑鹡鸰|animate|0.000053
大方之家|animate|0.000105
大有人在|animate|0.000105
大朱雀|animate|0.000158
大材小用|animate|0.000132
大杓鹬|animate|0.000158
大杜鹃|animate|0.000158
大树莺|animate|0.000158
大沙锥|animate|0.000158
大滨鹬|animate|0.000158
大牌|animate|0.000369
大王|animate|0.000422
大生|animate|0.000369
大男人|animate|0.000211
大白熊犬|animate|0.000053
大白鹭|animate|0.000158
大盘尾|animate|0.000158
大石鸡|animate|0.000158
大石鸻|animate|0.000211
大笨鸟|animate|0.000158
大红鹳|animate|0.000158
大绿雀鹎|animate|0.000053
大美人|animate|0.000264
大义|animate|0.000422
大声疾呼|animate|0.000158
大草鹛|animate|0.000158
大草莺|animate|0.000158
大苇莺|animate|0.000158
大长腿|animate|0.000211
大风吹|animate|0.000264
大鱼大肉|animate|0.000053
大鲽鱼|animate|0.000158
大鸨|animate|0.000316
大鹃鵙|animate|0.000158
大鹏鸟|animate|0.000158
大麦町|animate|0.000158
大麻鳽|animate|0.000158
大黄鱼|animate|0.000211
大龄青年|animate|0.000158
天人|animate|0.000369
天仙|animate|0.000422
天灾人祸|animate|0.000105
天禄|animate|0.000316
天竺鼠|animate|0.000158
天马|animate|0.000211
天龙人|animate|0.000316
太仆寺卿|animate|0.000053
太太|animate|0.000422
太平鸟|animate|0.000158
太爷|animate|0.000527
太牢|animate|0.000369
夫|animate|0.000659
夫唱妇随|animate|0.000158
夫妻反目|animate|0.000105
失业者|animate|0.000211
失独|animate|0.000422
失独家庭|animate|0.000105
奇人|animate|0.000369
奇士|animate|0.000369
奇蹄目|animate|0.000158
奉若神明|animate|0.000053
奔马|animate|0.000316
套包|animate|0.000316
套裙|animate|0.000422
奥威尔|animate|0.000158
女|animate|0.000633
女上位|animate|0.000264
女人|animate|0.000422
女同胞|animate|0.000264
女大|animate|0.000369
女娃|animate|0.000316
女子|animate|0.000422
女将|animate|0.000422
女工|animate|0.000422
女强人|animate|0.000264
女性|animate|0.000422
女扮男装|animate|0.000158
女流|animate|0.000422
女汉子|animate|0.000264
女生|animate|0.000422
女生外向|animate|0.000158
女的|animate|0.000422
女郎|animate|0.000475
女体盛|animate|0.000264
女高|animate|0.000422
奶名|animate|0.000369
奶帅|animate|0.000422
奶拽|animate|0.000369
奶油小生|animate|0.000158
奶牛|animate|0.000316
奶音|animate|0.000369
奸细|animate|0.000369
好人好事|animate|0.000105
好好先生|animate|0.000211
好家伙|animate|0.000264
好心人|animate|0.000264
好料|animate|0.000475
好样的|animate|0.000264
好汉|animate|0.000369
好色之徒|animate|0.000211
好鸟|animate|0.000422
如花似玉|animate|0.000158
如鱼得水|animate|0.000211
如鲠在喉|animate|0.000105
妄人|animate|0.000369
妖女|animate|0.000422
妖精|animate|0.000422
妖言惑众|animate|0.000105
妙手|animate|0.000369
妨功害能|animate|0.000105
妭|animate|0.000686
妹妹|animate|0.000422
妻儿|animate|0.000369
妻妾|animate|0.000369
姁|animate|0.000686
姈|animate|0.000633
始作俑者|animate|0.000105
姐弟恋|animate|0.000316
姑奶奶|animate|0.000316
姑娘|animate|0.000527
姑婆|animate|0.000316
姑息养奸|animate|0.000105
姘夫|animate|0.000422
姘妇|animate|0.000422
姝|animate|0.000633
奸雄|animate|0.000369
姨母笑|animate|0.000264
姬|animate|0.000633
姬滨鹬|animate|0.000158
姬田鸡|animate|0.000158
姬鹬|animate|0.000316
姿色|animate|0.000475
娃娃|animate|0.000422
娃娃兵|animate|0.000264
娃娃生|animate|0.000211
娃子|animate|0.000422
娉婷袅娜|animate|0.000158
娘俩|animate|0.000369
娘儿们|animate|0.000264
娘妈|animate|0.000422
娘子|animate|0.000475
娘家姓|animate|0.000264
娘炮|animate|0.000395
婀娜|animate|0.000422
婆姨|animate|0.000422
婆子|animate|0.000475
妇|animate|0.000633
妇人|animate|0.000422
妇女|animate|0.000422
妇道人家|animate|0.000158
婧|animate|0.000659
媖|animate|0.000633
媸|animate|0.000633
媪|animate|0.000686
嫁鸡随鸡|animate|0.000211
嫪毐|animate|0.000369
嫫|animate|0.000633
婵娟|animate|0.000422
娇媚|animate|0.000475
娈童|animate|0.000422
子|animate|0.000738
子代|animate|0.000369
子弟|animate|0.000369
子民|animate|0.000369
子级|animate|0.000264
孕妇|animate|0.000422
孕宝宝|animate|0.000211
孤家寡人|animate|0.000158
孤沙锥|animate|0.000158
孤男寡女|animate|0.000158
孤老|animate|0.000475
孤军奋战|animate|0.000211
孤魂野鬼|animate|0.000105
孥|animate|0.000580
孩|animate|0.000580
孩儿|animate|0.000369
孩子|animate|0.000369
孩提|animate|0.000369
孩童|animate|0.000369
学人|animate|0.000369
学员|animate|0.000369
学士|animate|0.000422
学子|animate|0.000369
学渣|animate|0.000369
学潮|animate|0.000369
学生|animate|0.000422
学生证|animate|0.000211
学生运动|animate|0.000105
学籍|animate|0.000369
学舍|animate|0.000369
学号|animate|0.000369
学运|animate|0.000369
学霸|animate|0.000369
孺|animate|0.000580
孺子|animate|0.000369
孺子可教|animate|0.000105
孽畜|animate|0.000316
守空房|animate|0.000369
守旧派|animate|0.000264
安德烈|animate|0.000211
宋任穷|animate|0.000211
宋白|animate|0.000369
完人|animate|0.000369
宗主|animate|0.000369
宗匠|animate|0.000422
官逼民反|animate|0.000105
客家人|animate|0.000211
宦骑|animate|0.000316
害人不浅|animate|0.000105
害人精|animate|0.000211
害兽|animate|0.000316
害群之马|animate|0.000053
害鸟|animate|0.000422
家八哥|animate|0.000158
家燕|animate|0.000316
家畜|animate|0.000316
家破人亡|animate|0.000158
家里蹲|animate|0.000211
家猫|animate|0.000369
家长|animate|0.000475
家马|animate|0.000316
家鸦|animate|0.000369
家麻雀|animate|0.000211
寄人篱下|animate|0.000105
寄生生活|animate|0.000105
富人|animate|0.000369
富婆|animate|0.000422
富家翁|animate|0.000211
富甲一方|animate|0.000211
富翁|animate|0.000369
富豪|animate|0.000369
富贵病|animate|0.000211
富农|animate|0.000369
寒蝉效应|animate|0.000105
寒鸦|animate|0.000369
寡人|animate|0.000369
实习生|animate|0.000211
写手|animate|0.000422
宽嘴鹟莺|animate|0.000053
宽尾树莺|animate|0.000053
宝刀不老|animate|0.000316
宝妈|animate|0.000369
宝爸|animate|0.000369
宝兴歌鸫|animate|0.000053
宝兴鹛雀|animate|0.000053
宝贝疙瘩|animate|0.000158
封官许愿|animate|0.000105
专人|animate|0.000369
专利|animate|0.000369
尊者|animate|0.000369
尊贤爱物|animate|0.000105
寻回犬|animate|0.000158
对口相声|animate|0.000158
对家|animate|0.000369
对牛弹琴|animate|0.000053
对号入座|animate|0.000316
导师|animate|0.000369
导盲犬|animate|0.000158
小三|animate|0.000422
小不点|animate|0.000316
小人得志|animate|0.000105
小人精|animate|0.000211
小仙女|animate|0.000316
小仙鹟|animate|0.000211
小儿|animate|0.000369
小可|animate|0.000422
小同乡|animate|0.000211
小名|animate|0.000369
小哥|animate|0.000369
小哥哥|animate|0.000422
小嘴乌鸦|animate|0.000105
小嘴鸻|animate|0.000158
小寿星|animate|0.000369
小伙子|animate|0.000211
小太平鸟|animate|0.000053
小姐姐|animate|0.000475
小娃|animate|0.000369
小媳妇|animate|0.000369
小孩|animate|0.000395
小孩子|animate|0.000211
小学生|animate|0.000264
小年夜|animate|0.000369
小年轻|animate|0.000211
小斑姬鹟|animate|0.000105
小日本|animate|0.000237
小朋友|animate|0.000211
小杓鹬|animate|0.000158
小杜鹃|animate|0.000158
小民|animate|0.000422
小滨鹬|animate|0.000158
小燕尾|animate|0.000158
小田鸡|animate|0.000158
小白兔|animate|0.000264
小白脸|animate|0.000264
小白额雁|animate|0.000053
小白鼠|animate|0.000211
小皇帝|animate|0.000264
小盘尾|animate|0.000158
小绒鸭|animate|0.000158
小老婆|animate|0.000264
小苇鳽|animate|0.000158
小蜜|animate|0.000422
小蜜蜂|animate|0.000264
小蝗莺|animate|0.000158
小车|animate|0.000369
小军舰鸟|animate|0.000053
小钢炮|animate|0.000316
小开|animate|0.000369
小鸡鸡|animate|0.000211
小云雀|animate|0.000158
小青年|animate|0.000211
小青脚鹬|animate|0.000105
小脏鬼|animate|0.000211
小鬼|animate|0.000369
小鸟|animate|0.000369
小鸟依人|animate|0.000105
小鸨|animate|0.000316
小鸦鹃|animate|0.000158
小鹀|animate|0.000316
小鹃鸠|animate|0.000158
小鸥|animate|0.000316
小黄脚鹬|animate|0.000053
少儿|animate|0.000369
少妇|animate|0.000422
少年|animate|0.000369
少年人|animate|0.000211
少白头|animate|0.000264
少见多怪|animate|0.000264
尖子生|animate|0.000211
尖尾滨鹬|animate|0.000053
尤物|animate|0.000475
尨|animate|0.000527
尼特族|animate|0.000211
尾|animate|0.000527
屁屁|animate|0.000369
屄样儿|animate|0.000211
层次|animate|0.000369
山噪鹛|animate|0.000158
山斑鸠|animate|0.000158
山羊|animate|0.000369
山蓝仙鹟|animate|0.000053
山苏|animate|0.000316
山猫|animate|0.000316
山鹛|animate|0.000316
山鹡鸰|animate|0.000158
山鹨|animate|0.000316
山鹪莺|animate|0.000158
山麻雀|animate|0.000158
岩滨鹬|animate|0.000158
岩燕|animate|0.000316
岩雷鸟|animate|0.000158
岩鸽|animate|0.000316
岩鹭|animate|0.000316
峨嵋鹟莺|animate|0.000053
峨眉柳莺|animate|0.000053
崖沙燕|animate|0.000158
崖海鸦|animate|0.000158
崽|animate|0.000606
崽子|animate|0.000316
嶙峋|animate|0.000369
巍然屹立|animate|0.000105
川震|animate|0.000369
工作犬|animate|0.000158
工具人|animate|0.000211
工时|animate|0.000369
工读生|animate|0.000316
左右手|animate|0.000211
巨嘴柳莺|animate|0.000053
巨嘴沙雀|animate|0.000053
巨婴|animate|0.000369
巨擘|animate|0.000422
巨兽|animate|0.000316
巫医|animate|0.000264
差生|animate|0.000369
巴克夏猪|animate|0.000053
巴哥|animate|0.000316
